issue_number,issue_title,issue_user,issue_created,issue_closed,issue_url,pr_number,pr_user,pr_merged_at,pr_url,pr_title,root_cause,solution
48832,[R] arrow::write_parquet error with zero-length datetimes in R 4.5.2,pmac0451,2026-01-12 16:24:21+00:00,2026-04-02 12:42:54+00:00,https://github.com/apache/arrow/issues/48832,49619,thisisnic,2026-04-02 12:42:27+00:00,https://github.com/apache/arrow/pull/49619,GH-48832: [R] Fix crash with zero-length POSIXct tzone attribute,"`GetVectorType()` in `r/src/r_to_arrow.cpp` only checked for `POSIXct` in the `REALSXP` branch. In R 4.5.2+, zero-length `POSIXct` is now stored as `INTSXP` (integer), so it was misclassified as `INT32` instead of timestamp.","Added `else if (Rf_inherits(x, ""POSIXct"")) { return POSIXCT; }` to the `INTSXP` branch of `GetVectorType()` so any `POSIXct` is mapped to the timestamp type regardless of underlying storage. Tests added in `test-Array.R` and `test-parquet.R`."
48712,"[R] ""Invalid metadata$r"" warning",r2evans,2026-01-02 20:36:14+00:00,2026-04-11 11:53:41+00:00,https://github.com/apache/arrow/issues/48712,49608,thisisnic,2026-04-11 11:53:22+00:00,https://github.com/apache/arrow/pull/49608,"GH-48712: [R] ""Invalid metadata$r"" warning","`as.data.frame.Schema()` in `r/R/schema.R` called `as.data.frame(Table__from_schema(x))`, which propagated Arrow table metadata (e.g. named-vector column attrs) onto the intermediate data frame and triggered an ""Invalid metadata$r"" warning on later operations like `rename_with()`.",Replaced the call with `Table__from_schema(x)$to_data_frame()` (line 470) to use Arrow's native conversion and avoid carrying the metadata across. Regression test added to `test-dplyr-select.R`.
48057,"[R] Slow reading performance caused by `apply_arrow_r_metadata()` looping through all columns, including NULL ones",joeramirez,2025-11-05 01:13:26+00:00,2025-11-13 17:49:28+00:00,https://github.com/apache/arrow/issues/48057,48104,thisisnic,2025-11-13 17:49:14+00:00,https://github.com/apache/arrow/pull/48104,"GH-48057: [R] Slow reading performance caused by apply_arrow_r_metadata() looping through all columns, including NULL ones","`apply_arrow_r_metadata()` in `r/R/metadata.R` entered its per-column loop whenever `columns_metadata` was non-NULL, even if every entry inside was `NULL`, causing an O(ncol) walk over plain data frames with no per-column metadata.","Tightened the guard at line 178 to `if (length(names(x)) && !is.null(columns_metadata) && !all(map_lgl(columns_metadata, is.null)))`, skipping the loop entirely when there is no per-column metadata to apply."
47257,[R] Truncation of time variables,gowerc,2025-08-04 16:10:01+00:00,2025-08-22 09:11:13+00:00,https://github.com/apache/arrow/issues/47257,47278,thisisnic,2025-08-22 09:11:01+00:00,https://github.com/apache/arrow/pull/47278,GH-47257: [R] Fix truncation of time variables to work with numeric subseconds time with hms bindings,"In `r/R/dplyr-funcs-datetime.R`, `register_bindings_hms()`'s `numeric_to_time32()` cast to `time32(unit = ""s"")`, dropping subsecond precision. Numeric values weren't scaled, and string parsing used `""%Y-%m-%d-%H-%M-%S""`.","Switched to `time32(unit = ""ms"")`, multiplied numeric inputs by 1000 via `Expression$create(""multiply_checked"", x, 1000)`, and corrected the strptime format to `""%Y-%m-%d %H:%M:%S""`. Added tests asserting nanosecond/subsecond character inputs error explicitly."
47213,[R] v21 fails to install on Debian 12 (due to wrong cmake for Thrift),mrd0ll4r,2025-07-28 14:37:18+00:00,2025-08-10 20:59:22+00:00,https://github.com/apache/arrow/issues/47213,47217,kou,2025-08-10 20:58:56+00:00,https://github.com/apache/arrow/pull/47217,GH-47213: [R] Require CMake 3.26 or later,"The R package required CMake >= 3.25 (`r/DESCRIPTION` SystemRequirements and `ensure_cmake()` default in `r/tools/nixlibs.R`), but bundled Apache Thrift now needs CMake >= 3.26, so install failed on Debian 12 where 3.25 was being picked up.",Bumped the minimum to 3.26 in both `r/DESCRIPTION` (`cmake >= 3.26`) and the `cmake_minimum_required` default in `r/tools/nixlibs.R::ensure_cmake()`.
47000,[R] concat_tables on a record_batch causes segfault,warnes,2025-07-05 18:29:07+00:00,2025-10-25 17:16:32+00:00,https://github.com/apache/arrow/issues/47000,47885,thisisnic,2025-10-25 17:16:19+00:00,https://github.com/apache/arrow/pull/47885,GH-47000: [R] concat_tables on a record_batch causes segfault,`concat_tables()` in `r/R/table.R` did not handle `RecordBatch` inputs; passing one bypassed the Table-conversion path and caused a segfault during concatenation.,"Added an `lapply()` over inputs that wraps any `RecordBatch` in `arrow_table()` before concatenation (lines 192-198 of `table.R`), leaving Tables unchanged. Documentation and tests for the new RecordBatch input were added."
46831,[R] SystemRequirements documentation incorrect for cmake version,eeeggg,2025-06-17 02:01:07+00:00,2025-06-20 11:49:58+00:00,https://github.com/apache/arrow/issues/46831,46834,raulcd,2025-06-20 11:49:50+00:00,https://github.com/apache/arrow/pull/46834,GH-46831: [C++][R] Remove some pending references to CMake < 3.25 (docs + minor CMake references),"Documentation and build files still required CMake 3.16, even though the project's actual minimum had moved on. `r/DESCRIPTION` declared `cmake >= 3.16`, `docs/source/developers/cpp/building.rst` said ""CMake 3.16 or higher"", and `cpp/cmake_modules/ThirdpartyToolchain.cmake` carried an obsolete `CMAKE_VERSION VERSION_LESS 3.22` workaround block.","Bumped all CMake-version references to 3.25: `r/DESCRIPTION` -> `cmake >= 3.25`, `building.rst` -> ""CMake 3.25"", `cpp/examples/minimal_build/CMakeLists.txt` `cmake_minimum_required(VERSION 3.25)`, and removed the now-redundant CMake 3.22 fallback block from `ThirdpartyToolchain.cmake`."
46636,[R] `case_when()` sometimes doesn't find existing objects in the environment,etiennebacher,2025-05-29 10:47:26+00:00,2025-06-05 15:45:31+00:00,https://github.com/apache/arrow/issues/46636,46667,etiennebacher,2025-06-05 15:45:30+00:00,https://github.com/apache/arrow/pull/46667,GH-46636: [R] Fix evaluation of external objects not in global environment in `case_when()`,"`arrow_eval()` in `r/R/dplyr-eval.R` invoked `eval_tidy(expr, mask)` without passing `env`, so when `case_when()` (or similar) referenced an object defined outside the global env it could not be looked up via the data mask.","Changed line 33 to `eval_tidy(expr, mask, env = mask)`, so the data mask is also used as the lookup environment. This makes externally-defined symbols resolve correctly inside dplyr expressions."
46149,[C++] Opening dataset fails with sshfs-3.7.3 due to F_RDADVISE error,r2evans,2025-04-15 15:32:59+00:00,2025-05-12 14:03:14+00:00,https://github.com/apache/arrow/issues/46149,46346,thisisnic,2025-05-12 11:22:36+00:00,https://github.com/apache/arrow/pull/46346,GH-46149: [C++] Opening dataset fails with sshfs-3.7.3 due to F_RDADVISE error,"`ReadRangeCache::Impl::Cache` in `cpp/src/arrow/io/caching.cc` propagated every error from `file->WillNeed(ranges)` as fatal. On sshfs 3.7.3, `F_RDADVISE` returns an I/O error, so opening a dataset failed even though prefetching is only an optimisation.","Captured the `WillNeed()` status and downgraded I/O errors to success: if `st.IsIOError()` the function now returns `Status::OK()` instead of propagating, allowing dataset opening to continue when prefetch isn't supported."
44674,[R] R CMD check failure with dev testthat,hadley,2024-11-07 19:51:46+00:00,2024-11-08 15:26:19+00:00,https://github.com/apache/arrow/issues/44674,44675,amoeba,2024-11-08 15:26:18+00:00,https://github.com/apache/arrow/pull/44675,GH-44674: [R] Fix R CMD check failure with dev testthat,"Three R tests used `expect_true(all(x == y))` patterns which broke under dev `testthat`, where `expect_true()` no longer tolerated the resulting comparison semantics; one parquet test additionally hit a timestamp-unit mismatch that `==` quietly accepted.","Replaced `expect_true(all(x == y))` with `expect_equal(x, y)` in `test-Array.R` (lines 1265, 1286), `test-extension.R` (line 38) and `test-parquet.R` (line 458). The parquet test also gained an explicit `.cast()` call to align timestamp units before comparison."
44069,[R] cannot collect multiple times after passing to_arrow() and collect(),abduazizR,2024-09-11 14:15:19+00:00,2024-09-14 19:38:56+00:00,https://github.com/apache/arrow/issues/44069,44094,amoeba,2024-09-14 19:38:47+00:00,https://github.com/apache/arrow/pull/44094,GH-44069: [Docs][R] Add note to to_arrow() docs about collect/compute,"`to_arrow()` (DuckDB -> Arrow handoff) in `r/R/duckdb.R` returned a `RecordBatchReader` that can only be consumed once, but the documentation (`r/man/to_arrow.Rd`) didn't say so, leading users to call `collect()`/`compute()` twice and hit confusing failures.","This was a docs-only fix: added a note to `to_arrow()`'s Roxygen docs (and the regenerated `.Rd`) explaining that `collect()`/`compute()` may only be called once on the result, and recommending either making `collect()` the final step or materialising via `as_arrow_table()` first."
43960,[R] stringr binding for `str_sub()` silently mishandles negative start/stop values,coussens,2024-09-05 01:06:24+00:00,2024-09-21 10:05:23+00:00,https://github.com/apache/arrow/issues/43960,44141,coussens,2024-09-21 10:05:10+00:00,https://github.com/apache/arrow/pull/44141,GH-43960: [R] fix `str_sub` binding to properly handle negative `end` values,"The `str_sub` binding in `r/R/dplyr-funcs-string.R` only guarded against `end < start`, ignoring the indexing-semantics mismatch between R's `stringr::str_sub` (1-based, inclusive end) and Arrow's `utf8_slice_codeunits` (0-based, exclusive end). Negative `end` values therefore silently produced a substring one character short of the user's intent.","Replaced the simple `end < start` check with logic that adds 1 to negative `end` values when `end < -1` to convert R's inclusive negative indices into Arrow's exclusive end positions, restoring parity with `stringr::str_sub`."
43748,[R] `write_parquet()` has infinite recursion error when writing `packageVersion()` attributes,tanho63,2024-08-19 13:25:08+00:00,2024-09-12 01:14:19+00:00,https://github.com/apache/arrow/issues/43748,43895,nealrichardson,2024-09-12 01:13:55+00:00,https://github.com/apache/arrow/pull/43895,GH-43748: [R] Handle package_version in safe_r_metadata,"`check_r_metadata_types_recursive()` in `r/R/metadata.R` recursed via `[[` on subclassed lists. Subclasses with custom `[[` methods (e.g. `packageVersion`, which is a list with class `""package_version""`) caused the recursion to never terminate when an attribute carried such an object.","Wrapped the recursion target in `unclass(x)` so subclass-specific `[[` methods don't intercept the traversal, then reapplied the original attributes after validation. Added a regression test using `packageVersion()` in metadata."
43665,R/C++ bindings documentation missing (Error 404),ajinkya-k,2024-08-13 05:08:36+00:00,2024-09-01 23:17:43+00:00,https://github.com/apache/arrow/issues/43665,43889,nealrichardson,2024-09-01 23:17:42+00:00,https://github.com/apache/arrow/pull/43889,GH-43665: [R] Remove references to bindings vignette,"Several docs (`developers/r/resources.rst`, `developers/r/r_tutorial.rst`, `developers/r/arrow_codebase.rst`, `r/vignettes/developing.Rmd`) linked to a ""Writing Bindings"" vignette and a related walkthrough section that no longer exists, producing 404s.","Docs-only cleanup that deletes ~35 lines of stale references: removed link/seealso/note blocks pointing at the bindings vignette, dropped the entire ""Writing Bindings Walkthrough"" section in `r_tutorial.rst`, and removed the bullet from `developing.Rmd`."
43440,[R] Unable to filter a factor column in a Dataset using `%in%`,spencerpease,2024-07-26 23:35:12+00:00,2024-09-22 15:15:42+00:00,https://github.com/apache/arrow/issues/43440,43446,nealrichardson,2024-09-22 15:15:41+00:00,https://github.com/apache/arrow/pull/43446,GH-43440: [R] Unable to filter a factor column with %in%,"In `r/R/dplyr-funcs-conditional.R`, `register_bindings_conditional()` cast the `%in%` value set to the column's full `DictionaryType`. Arrow's `is_in` kernel expects the value-type, not the dictionary type itself, so filtering a factor (dictionary-encoded) column with `%in%` errored out.","Detect `DictionaryType` and unwrap it before casting: when `inherits(x_type, ""DictionaryType"")`, set `x_type <- x_type$value_type` and pass that to `cast_or_parse()`, so the value set is cast to the dictionary's underlying value-type."
